word,p1,p2,p3,p4,p5
keens,k,e,e,n,s
nicad,n,i,c,a,d
pones,p,o,n,e,s
inker,i,n,k,e,r
whews,w,h,e,w,s
groks,g,r,o,k,s
mosts,m,o,s,t,s
trews,t,r,e,w,s
ulnar,u,l,n,a,r
gyppy,g,y,p,p,y
cocas,c,o,c,a,s
expos,e,x,p,o,s
eruct,e,r,u,c,t
oiler,o,i,l,e,r
vacua,v,a,c,u,a
dreck,d,r,e,c,k
dater,d,a,t,e,r
arums,a,r,u,m,s
tubal,t,u,b,a,l
voxel,v,o,x,e,l
dixit,d,i,x,i,t
beery,b,e,e,r,y
assai,a,s,s,a,i
lades,l,a,d,e,s
actin,a,c,t,i,n
ghoti,g,h,o,t,i
buzzy,b,u,z,z,y
meads,m,e,a,d,s
grody,g,r,o,d,y
ribby,r,i,b,b,y
clews,c,l,e,w,s
creme,c,r,e,m,e
email,e,m,a,i,l
pyxie,p,y,x,i,e
kulak,k,u,l,a,k
bocci,b,o,c,c,i
rived,r,i,v,e,d
duddy,d,u,d,d,y
hoper,h,o,p,e,r
lapin,l,a,p,i,n
wonks,w,o,n,k,s
petri,p,e,t,r,i
phial,p,h,i,a,l
fugal,f,u,g,a,l
holon,h,o,l,o,n
boomy,b,o,o,m,y
duomo,d,u,o,m,o
musos,m,u,s,o,s
shier,s,h,i,e,r
hayer,h,a,y,e,r
porgy,p,o,r,g,y
hived,h,i,v,e,d
litho,l,i,t,h,o
fisty,f,i,s,t,y
stagy,s,t,a,g,y
luvya,l,u,v,y,a
maria,m,a,r,i,a
smogs,s,m,o,g,s
asana,a,s,a,n,a
yogic,y,o,g,i,c
slomo,s,l,o,m,o
fawny,f,a,w,n,y
amine,a,m,i,n,e
wefts,w,e,f,t,s
gonad,g,o,n,a,d
twirp,t,w,i,r,p
brava,b,r,a,v,a
plyer,p,l,y,e,r
fermi,f,e,r,m,i
loges,l,o,g,e,s
niter,n,i,t,e,r
revet,r,e,v,e,t
unate,u,n,a,t,e
gyved,g,y,v,e,d
totty,t,o,t,t,y
zappy,z,a,p,p,y
honer,h,o,n,e,r
giros,g,i,r,o,s
dicer,d,i,c,e,r
calks,c,a,l,k,s
luxes,l,u,x,e,s
monad,m,o,n,a,d
cruft,c,r,u,f,t
quoin,q,u,o,i,n
fumer,f,u,m,e,r
amped,a,m,p,e,d
shlep,s,h,l,e,p
vinca,v,i,n,c,a
yahoo,y,a,h,o,o
vulva,v,u,l,v,a
zooey,z,o,o,e,y
dryad,d,r,y,a,d
nixie,n,i,x,i,e
moper,m,o,p,e,r
iambs,i,a,m,b,s
lunes,l,u,n,e,s
nudie,n,u,d,i,e
limns,l,i,m,n,s
weals,w,e,a,l,s
nohow,n,o,h,o,w
miaow,m,i,a,o,w
gouts,g,o,u,t,s
mynas,m,y,n,a,s
mazer,m,a,z,e,r
kikes,k,i,k,e,s
oxeye,o,x,e,y,e
stoup,s,t,o,u,p
jujus,j,u,j,u,s
debar,d,e,b,a,r
pubes,p,u,b,e,s
taels,t,a,e,l,s
defun,d,e,f,u,n
rands,r,a,n,d,s
blear,b,l,e,a,r
paver,p,a,v,e,r
goosy,g,o,o,s,y
sprog,s,p,r,o,g
oleos,o,l,e,o,s
toffy,t,o,f,f,y
pawer,p,a,w,e,r
maced,m,a,c,e,d
crits,c,r,i,t,s
kluge,k,l,u,g,e
tubed,t,u,b,e,d
sahib,s,a,h,i,b
ganef,g,a,n,e,f
scats,s,c,a,t,s
sputa,s,p,u,t,a
vaned,v,a,n,e,d
acned,a,c,n,e,d
taxol,t,a,x,o,l
plink,p,l,i,n,k
oweth,o,w,e,t,h
tribs,t,r,i,b,s
resay,r,e,s,a,y
boule,b,o,u,l,e
thous,t,h,o,u,s
haply,h,a,p,l,y
glans,g,l,a,n,s
maxis,m,a,x,i,s
bezel,b,e,z,e,l
antis,a,n,t,i,s
porks,p,o,r,k,s
quoit,q,u,o,i,t
alkyd,a,l,k,y,d
glary,g,l,a,r,y
beamy,b,e,a,m,y
hexad,h,e,x,a,d
bonks,b,o,n,k,s
tecum,t,e,c,u,m
kerbs,k,e,r,b,s
filar,f,i,l,a,r
frier,f,r,i,e,r
redux,r,e,d,u,x
abuzz,a,b,u,z,z
fader,f,a,d,e,r
shoer,s,h,o,e,r
couth,c,o,u,t,h
trues,t,r,u,e,s
guyed,g,u,y,e,d
goony,g,o,o,n,y
booky,b,o,o,k,y
fuzes,f,u,z,e,s
hurly,h,u,r,l,y
genet,g,e,n,e,t
hodad,h,o,d,a,d
calix,c,a,l,i,x
filer,f,i,l,e,r
pawls,p,a,w,l,s
iodic,i,o,d,i,c
utero,u,t,e,r,o
henge,h,e,n,g,e
unsay,u,n,s,a,y
liers,l,i,e,r,s
piing,p,i,i,n,g
weald,w,e,a,l,d
sexed,s,e,x,e,d
folic,f,o,l,i,c
poxed,p,o,x,e,d
cunts,c,u,n,t,s
anile,a,n,i,l,e
kiths,k,i,t,h,s
becks,b,e,c,k,s
tatty,t,a,t,t,y
plena,p,l,e,n,a
rebar,r,e,b,a,r
abled,a,b,l,e,d
toyer,t,o,y,e,r
attar,a,t,t,a,r
teaks,t,e,a,k,s
aioli,a,i,o,l,i
awing,a,w,i,n,g
anent,a,n,e,n,t
feces,f,e,c,e,s
redip,r,e,d,i,p
wists,w,i,s,t,s
prats,p,r,a,t,s
mesne,m,e,s,n,e
muter,m,u,t,e,r
smurf,s,m,u,r,f
owest,o,w,e,s,t
bahts,b,a,h,t,s
lossy,l,o,s,s,y
ftped,f,t,p,e,d
hunky,h,u,n,k,y
hoers,h,o,e,r,s
slier,s,l,i,e,r
sicks,s,i,c,k,s
fatly,f,a,t,l,y
delft,d,e,l,f,t
hiver,h,i,v,e,r
himbo,h,i,m,b,o
pengo,p,e,n,g,o
busks,b,u,s,k,s
loxes,l,o,x,e,s
zonks,z,o,n,k,s
ilium,i,l,i,u,m
aport,a,p,o,r,t
ikons,i,k,o,n,s
mulct,m,u,l,c,t
reeve,r,e,e,v,e
civvy,c,i,v,v,y
canna,c,a,n,n,a
barfy,b,a,r,f,y
kaiak,k,a,i,a,k
scudo,s,c,u,d,o
knout,k,n,o,u,t
gaper,g,a,p,e,r
bhang,b,h,a,n,g
pease,p,e,a,s,e
uteri,u,t,e,r,i
lases,l,a,s,e,s
paten,p,a,t,e,n
rasae,r,a,s,a,e
axels,a,x,e,l,s
stoas,s,t,o,a,s
ombre,o,m,b,r,e
styli,s,t,y,l,i
gunky,g,u,n,k,y
hazer,h,a,z,e,r
kenaf,k,e,n,a,f
ahoys,a,h,o,y,s
ammos,a,m,m,o,s
weeny,w,e,e,n,y
urger,u,r,g,e,r
kudzu,k,u,d,z,u
paren,p,a,r,e,n
bolos,b,o,l,o,s
fetor,f,e,t,o,r
nitty,n,i,t,t,y
techy,t,e,c,h,y
lieth,l,i,e,t,h
somas,s,o,m,a,s
darky,d,a,r,k,y
villi,v,i,l,l,i
gluon,g,l,u,o,n
janes,j,a,n,e,s
cants,c,a,n,t,s
farts,f,a,r,t,s
socle,s,o,c,l,e
jinns,j,i,n,n,s
ruing,r,u,i,n,g
slily,s,l,i,l,y
ricer,r,i,c,e,r
hadda,h,a,d,d,a
wowee,w,o,w,e,e
rices,r,i,c,e,s
nerts,n,e,r,t,s
cauls,c,a,u,l,s
swive,s,w,i,v,e
lilty,l,i,l,t,y
micks,m,i,c,k,s
arity,a,r,i,t,y
pasha,p,a,s,h,a
finif,f,i,n,i,f
oinky,o,i,n,k,y
gutty,g,u,t,t,y
tetra,t,e,t,r,a
wises,w,i,s,e,s
wolds,w,o,l,d,s
balds,b,a,l,d,s
picot,p,i,c,o,t
whats,w,h,a,t,s
shiki,s,h,i,k,i
bungs,b,u,n,g,s
snarf,s,n,a,r,f
legos,l,e,g,o,s
dungs,d,u,n,g,s
stogy,s,t,o,g,y
berms,b,e,r,m,s
tangs,t,a,n,g,s
vails,v,a,i,l,s
roods,r,o,o,d,s
morel,m,o,r,e,l
sware,s,w,a,r,e
elans,e,l,a,n,s
latus,l,a,t,u,s
gules,g,u,l,e,s
razer,r,a,z,e,r
doxie,d,o,x,i,e
buena,b,u,e,n,a
overs,o,v,e,r,s
gutta,g,u,t,t,a
zincs,z,i,n,c,s
nates,n,a,t,e,s
kirks,k,i,r,k,s
tikes,t,i,k,e,s
donee,d,o,n,e,e
jerry,j,e,r,r,y
mohel,m,o,h,e,l
ceder,c,e,d,e,r
doges,d,o,g,e,s
unmap,u,n,m,a,p
folia,f,o,l,i,a
rawly,r,a,w,l,y
snark,s,n,a,r,k
topoi,t,o,p,o,i
ceils,c,e,i,l,s
immix,i,m,m,i,x
yores,y,o,r,e,s
diest,d,i,e,s,t
bubba,b,u,b,b,a
pomps,p,o,m,p,s
forky,f,o,r,k,y
turdy,t,u,r,d,y
lawzy,l,a,w,z,y
poohs,p,o,o,h,s
worts,w,o,r,t,s
gloms,g,l,o,m,s
beano,b,e,a,n,o
muley,m,u,l,e,y
barky,b,a,r,k,y
tunny,t,u,n,n,y
auric,a,u,r,i,c
funks,f,u,n,k,s
gaffs,g,a,f,f,s
cordy,c,o,r,d,y
curdy,c,u,r,d,y
lisle,l,i,s,l,e
toric,t,o,r,i,c
soyas,s,o,y,a,s
reman,r,e,m,a,n
mungy,m,u,n,g,y
carpy,c,a,r,p,y
apish,a,p,i,s,h
oaten,o,a,t,e,n
gappy,g,a,p,p,y
aurae,a,u,r,a,e
bract,b,r,a,c,t
rooky,r,o,o,k,y
axled,a,x,l,e,d
burry,b,u,r,r,y
sizer,s,i,z,e,r
proem,p,r,o,e,m
turfy,t,u,r,f,y
impro,i,m,p,r,o
mashy,m,a,s,h,y
miens,m,i,e,n,s
nonny,n,o,n,n,y
olios,o,l,i,o,s
grook,g,r,o,o,k
sates,s,a,t,e,s
agley,a,g,l,e,y
corgi,c,o,r,g,i
dashy,d,a,s,h,y
doser,d,o,s,e,r
dildo,d,i,l,d,o
apsos,a,p,s,o,s
xored,x,o,r,e,d
laker,l,a,k,e,r
playa,p,l,a,y,a
selah,s,e,l,a,h
malty,m,a,l,t,y
dulse,d,u,l,s,e
frigs,f,r,i,g,s
demit,d,e,m,i,t
whoso,w,h,o,s,o
rials,r,i,a,l,s
sawer,s,a,w,e,r
spics,s,p,i,c,s
bedim,b,e,d,i,m
snugs,s,n,u,g,s
fanin,f,a,n,i,n
azoic,a,z,o,i,c
icers,i,c,e,r,s
suers,s,u,e,r,s
wizen,w,i,z,e,n
koine,k,o,i,n,e
topos,t,o,p,o,s
shirr,s,h,i,r,r
rifer,r,i,f,e,r
feral,f,e,r,a,l
laded,l,a,d,e,d
lased,l,a,s,e,d
turds,t,u,r,d,s
swede,s,w,e,d,e
easts,e,a,s,t,s
cozen,c,o,z,e,n
unhit,u,n,h,i,t
pally,p,a,l,l,y
aitch,a,i,t,c,h
sedum,s,e,d,u,m
coper,c,o,p,e,r
ruche,r,u,c,h,e
geeks,g,e,e,k,s
swags,s,w,a,g,s
etext,e,t,e,x,t
algin,a,l,g,i,n
offed,o,f,f,e,d
ninja,n,i,n,j,a
holer,h,o,l,e,r
doter,d,o,t,e,r
toter,t,o,t,e,r
besot,b,e,s,o,t
dicut,d,i,c,u,t
macer,m,a,c,e,r
peens,p,e,e,n,s
pewit,p,e,w,i,t
redox,r,e,d,o,x
poler,p,o,l,e,r
yecch,y,e,c,c,h
fluky,f,l,u,k,y
doeth,d,o,e,t,h
twats,t,w,a,t,s
cruds,c,r,u,d,s
bebug,b,e,b,u,g
bider,b,i,d,e,r
stele,s,t,e,l,e
hexer,h,e,x,e,r
wests,w,e,s,t,s
gluer,g,l,u,e,r
pilau,p,i,l,a,u
abaft,a,b,a,f,t
whelm,w,h,e,l,m
lacer,l,a,c,e,r
inode,i,n,o,d,e
tabus,t,a,b,u,s
gator,g,a,t,o,r
cuing,c,u,i,n,g
refly,r,e,f,l,y
luted,l,u,t,e,d
cukes,c,u,k,e,s
bairn,b,a,i,r,n
bight,b,i,g,h,t
arses,a,r,s,e,s
crump,c,r,u,m,p
loggy,l,o,g,g,y
blini,b,l,i,n,i
spoor,s,p,o,o,r
toyon,t,o,y,o,n
harks,h,a,r,k,s
wazoo,w,a,z,o,o
fenny,f,e,n,n,y
naves,n,a,v,e,s
keyer,k,e,y,e,r
tufas,t,u,f,a,s
morph,m,o,r,p,h
rajas,r,a,j,a,s
typal,t,y,p,a,l
spiff,s,p,i,f,f
oxlip,o,x,l,i,p
unban,u,n,b,a,n
mussy,m,u,s,s,y
finny,f,i,n,n,y
rimer,r,i,m,e,r
login,l,o,g,i,n
molas,m,o,l,a,s
cirri,c,i,r,r,i
huzza,h,u,z,z,a
agone,a,g,o,n,e
unsex,u,n,s,e,x
unwon,u,n,w,o,n
peats,p,e,a,t,s
toile,t,o,i,l,e
zombi,z,o,m,b,i
dewed,d,e,w,e,d
nooky,n,o,o,k,y
alkyl,a,l,k,y,l
ixnay,i,x,n,a,y
dovey,d,o,v,e,y
holey,h,o,l,e,y
cuber,c,u,b,e,r
amyls,a,m,y,l,s
podia,p,o,d,i,a
chino,c,h,i,n,o
apnea,a,p,n,e,a
prims,p,r,i,m,s
lycra,l,y,c,r,a
johns,j,o,h,n,s
primo,p,r,i,m,o
fatwa,f,a,t,w,a
egger,e,g,g,e,r
hempy,h,e,m,p,y
snook,s,n,o,o,k
hying,h,y,i,n,g
fuzed,f,u,z,e,d
barms,b,a,r,m,s
crink,c,r,i,n,k
moots,m,o,o,t,s
yerba,y,e,r,b,a
rhumb,r,h,u,m,b
unarc,u,n,a,r,c
direr,d,i,r,e,r
munge,m,u,n,g,e
eland,e,l,a,n,d
nares,n,a,r,e,s
wrier,w,r,i,e,r
noddy,n,o,d,d,y
atilt,a,t,i,l,t
jukes,j,u,k,e,s
ender,e,n,d,e,r
thens,t,h,e,n,s
unfix,u,n,f,i,x
doggo,d,o,g,g,o
zooks,z,o,o,k,s
diddy,d,i,d,d,y
shmoo,s,h,m,o,o
brusk,b,r,u,s,k
prest,p,r,e,s,t
curer,c,u,r,e,r
pasts,p,a,s,t,s
kelpy,k,e,l,p,y
bocce,b,o,c,c,e
kicky,k,i,c,k,y
taros,t,a,r,o,s
lings,l,i,n,g,s
dicky,d,i,c,k,y
nerdy,n,e,r,d,y
abend,a,b,e,n,d
stela,s,t,e,l,a
biggy,b,i,g,g,y
laved,l,a,v,e,d
baldy,b,a,l,d,y
pubis,p,u,b,i,s
gooks,g,o,o,k,s
wonky,w,o,n,k,y
stied,s,t,i,e,d
hypos,h,y,p,o,s
assed,a,s,s,e,d
spumy,s,p,u,m,y
osier,o,s,i,e,r
roble,r,o,b,l,e
rumba,r,u,m,b,a
biffy,b,i,f,f,y
pupal,p,u,p,a,l
